goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseHunkHeader/large_range-32   	 9327038	       128.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	 9693898	       126.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	 8952204	       125.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	10677200	       122.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-32           	   36430	     32382 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   36528	     35785 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   33482	     33219 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   36057	     31079 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   35652	     35768 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   33367	     33095 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-32     	    8269	    131827 ns/op	   89508 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	    7758	    132274 ns/op	   89509 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    127363 ns/op	   89509 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	    9966	    127174 ns/op	   89508 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    119228 ns/op	   89509 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	    9768	    123431 ns/op	   89507 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-32           	73989579	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	99493412	        14.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	80630529	        14.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	84605947	        15.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	83875611	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	85397703	        14.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	45199782	        27.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	43089208	        27.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	38473252	        27.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	40756854	        27.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	50738884	        27.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	38577021	        28.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	  358269	      3067 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  432452	      3249 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  360372	      3546 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  736168	      3147 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  322165	      3191 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  798237	      3453 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-32                    	  161203	      6402 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  192650	      6718 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  278515	      7921 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  166612	      7221 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  150440	      7455 ns/op	    6208 B/op	       7 allocs/op
