goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/ai
cpu: Apple M1 (Virtual)
BenchmarkNewRedactor-3                                  	 1954381	       649.0 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 1924237	       764.3 ns/op	    1352 B/op	       5 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	86.431s
goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/config
cpu: Apple M1 (Virtual)
BenchmarkValidate/valid_defaults-3         	  682137	      1734 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  740047	      1711 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  708003	      1661 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  775544	      1604 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  716922	      1623 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  738195	      1659 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  186836	      6946 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  184939	      6156 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  183310	      6583 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  166233	      6388 ns/op	     866 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  189864	      6322 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-3            	  187586	      6370 ns/op	     865 B/op	      18 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  354498	      3242 ns/op	    2085 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  372938	      3160 ns/op	    2083 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  371391	      3236 ns/op	    2082 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  357081	      3272 ns/op	    2083 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  355094	      3405 ns/op	    2083 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-3    	  341818	      3494 ns/op	    2082 B/op	      58 allocs/op
BenchmarkParseDefaultsTOML-3               	   53350	     21702 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-3               	   55574	     23351 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-3               	   49954	     25930 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-3               	   49416	     27998 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-3               	   52768	     23714 ns/op	    1881 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-3               	   53090	     22635 ns/op	    1880 B/op	      52 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	  995884	      1363 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	 1000000	      1223 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	 1000000	      1230 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	 1000000	      1367 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	 1000000	      1300 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-3 	 1000000	      1312 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  157629	      7584 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  172341	      7906 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  131493	      8759 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  155466	      7462 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  161972	      7259 ns/op	       0 B/op	       0 allocs/op
