goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseHunkHeader/large_range-32   	10116516	       101.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	11769217	        96.43 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	12719166	        89.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	13136748	        87.71 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-32           	   44204	     26982 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   43401	     27754 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   39628	     29668 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   43710	     29073 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   38595	     41493 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   38240	     31716 ns/op	   23498 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    105988 ns/op	   89507 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10827	    111340 ns/op	   89509 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    121623 ns/op	   89508 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   11492	    117373 ns/op	   89509 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    123735 ns/op	   89511 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    119899 ns/op	   89508 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-32           	80912695	        14.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	92838302	        12.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	97761266	        12.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        13.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	80772181	        13.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	84979214	        14.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	44973633	        23.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	55018866	        21.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	56485207	        21.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	61873210	        20.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	49953792	        20.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	59338963	        21.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	  382680	      3127 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  711667	      3484 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  721214	      3285 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  787814	      3151 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  344001	      3303 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  423246	      3486 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-32                    	  164316	      8353 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  154027	      7151 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  131961	      8203 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  210673	      6985 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  214711	      6748 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  180465	      7076 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	156.040s
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/small_500B-32 	   12722	     94246 ns/op	    6083 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    101588 ns/op	    6089 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    7896	    144219 ns/op	    6083 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    134343 ns/op	    6096 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    120880 ns/op	    6096 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    120172 ns/op	    6104 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     453	   2240992 ns/op	  126457 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     549	   2176384 ns/op	  126725 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     595	   2170424 ns/op	  127223 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     486	   2343107 ns/op	  127061 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     481	   2581562 ns/op	  127089 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     444	   2517694 ns/op	  126788 B/op	     105 allocs/op
BenchmarkRedactContent/large_50KB-32 	      51	  27019247 ns/op	 1650157 B/op	     591 allocs/op
BenchmarkRedactContent/large_50KB-32 	      44	  29100923 ns/op	 1649204 B/op	     587 allocs/op
BenchmarkRedactContent/large_50KB-32 	      39	  26558103 ns/op	 1649581 B/op	     588 allocs/op
BenchmarkRedactContent/large_50KB-32 	      46	  25318174 ns/op	 1649364 B/op	     587 allocs/op
BenchmarkRedactContent/large_50KB-32 	      58	  25879378 ns/op	 1649889 B/op	     591 allocs/op
BenchmarkRedactContent/large_50KB-32 	      49	  23695880 ns/op	 1649315 B/op	     587 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    119784 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    7818	    129994 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    119554 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    117236 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    111738 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    9618	    118739 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     919	   1218431 ns/op	     146 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     968	   1208555 ns/op	      55 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     909	   1217472 ns/op	     115 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     948	   1201130 ns/op	     142 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     975	   1452145 ns/op	     145 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1038	   1297431 ns/op	      87 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      74	  15358477 ns/op	     156 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      70	  15313496 ns/op	      69 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      76	  14522842 ns/op	     152 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      85	  14343361 ns/op	     136 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      66	  16365223 ns/op	      73 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      75	  17049375 ns/op	     154 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	19884404	        58.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	20650490	        59.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	19932462	        56.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	22770312	        55.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	23220352	        56.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	22919176	        56.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  739630	      1771 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  630158	      1752 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  604603	      1980 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  628748	      1877 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  700426	      1762 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  797161	      1673 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1186 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1131 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1175 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1194 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	  901760	      1131 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1199 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewRedactor-32                              	   10000	    131043 ns/op	  114242 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   10000	    122916 ns/op	  114241 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	    7564	    139086 ns/op	  114241 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   10000	    129129 ns/op	  114241 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   10000	    121952 ns/op	  114240 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	    9481	    126251 ns/op	  114241 B/op	     699 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	81.730s
