goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseHunkHeader/large_range-32   	13197616	        94.38 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	13603390	        93.13 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	12544441	        95.80 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	12625810	        95.96 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-32           	   39825	     29151 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   34408	     29242 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   46333	     27024 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   40830	     27888 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   42126	     28356 ns/op	   23499 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   41829	     29347 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    115435 ns/op	   89507 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10168	    107360 ns/op	   89513 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    105691 ns/op	   89512 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	    9984	    117686 ns/op	   89510 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    120057 ns/op	   89512 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   10000	    117249 ns/op	   89511 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-32           	81310177	        12.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        12.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	93392481	        12.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	90426132	        12.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	98850794	        12.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        13.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	48709402	        22.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	55009029	        21.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	51090135	        22.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	55389642	        21.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	58040830	        22.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	58532587	        22.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	  482564	      3355 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  370258	      3159 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  600633	      3315 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  396085	      3520 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  372364	      3348 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	  566914	      3392 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-32                    	  249289	      6599 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  206930	      6799 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  158578	      6981 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  184264	      6469 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  174828	      7079 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  159628	      6959 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	157.530s
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/small_500B-32 	   13315	     91779 ns/op	    6091 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    117487 ns/op	    6089 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    6829	    215247 ns/op	    6098 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    5444	    217662 ns/op	    6082 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    6090	    196426 ns/op	    6093 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    7228	    179733 ns/op	    6095 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     372	   3215506 ns/op	  126985 B/op	     106 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     386	   3145114 ns/op	  126739 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     364	   3037970 ns/op	  126730 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     393	   3082575 ns/op	  126415 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     388	   3138188 ns/op	  127482 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     391	   2975025 ns/op	  126921 B/op	     105 allocs/op
BenchmarkRedactContent/large_50KB-32 	      33	  34126552 ns/op	 1650420 B/op	     594 allocs/op
BenchmarkRedactContent/large_50KB-32 	      34	  34533038 ns/op	 1649637 B/op	     590 allocs/op
BenchmarkRedactContent/large_50KB-32 	      32	  34116406 ns/op	 1650235 B/op	     593 allocs/op
BenchmarkRedactContent/large_50KB-32 	      42	  33535364 ns/op	 1650019 B/op	     591 allocs/op
BenchmarkRedactContent/large_50KB-32 	      42	  32094595 ns/op	 1649894 B/op	     591 allocs/op
BenchmarkRedactContent/large_50KB-32 	      33	  31548012 ns/op	 1649378 B/op	     588 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    154404 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    7920	    152081 ns/op	       0 B/op	       0 allocs/op
