goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkParseHunkHeader/large_range-4  	10263844	       115.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10310980	       114.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10283437	       115.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10287290	       115.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-4          	   71606	     16598 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   71943	     16567 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   72950	     16622 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   72090	     16596 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   71305	     16725 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   72938	     16544 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17926	     67329 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17940	     66786 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17940	     66932 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17421	     67097 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17887	     67181 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17941	     66719 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-4          	155406492	         7.717 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	155887567	         7.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	155441922	         7.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	155201288	         7.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	155775930	         7.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	155499009	         7.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	91988343	        13.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	92045228	        13.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	94061150	        13.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	92692351	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	92102756	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	92252376	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-4                    	  948483	      1250 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  846931	      1347 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  930562	      1251 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  873842	      1258 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  857565	      1253 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  896768	      1250 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-4                   	  496581	      2240 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  485136	      2225 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  519718	      2247 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  497635	      2223 ns/op	    6208 B/op	       7 allocs/op
