goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkParseStatus/10_files-4         	  863810	      1351 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  794650	      1366 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  781322	      1357 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  834666	      1359 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  832168	      1378 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  799558	      1383 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	  101768	     11950 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  100563	     12406 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  100837	     12000 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  100785	     11878 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  100237	     12020 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  100632	     11948 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   20974	     56968 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20871	     57824 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20901	     57119 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20858	     58750 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   21043	     57149 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   21070	     57343 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   67104	     17818 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   67506	     17793 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   66698	     17814 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   67929	     17769 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   66901	     17967 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   68023	     17788 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  849508	      1297 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  825891	      1298 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  827365	      1294 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  840741	      1300 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  849554	      1303 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  833856	      1298 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	 1519989	       786.6 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1518120	       793.1 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1514458	       787.3 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1529389	       783.9 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1529224	       784.6 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1488786	       785.2 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  237579	      5014 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  237816	      4952 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  238333	      4977 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  235622	      4998 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  240486	      4976 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  237290	      4977 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   24183	     50634 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   24032	     49826 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   24348	     49802 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23998	     49811 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   24333	     49792 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   24082	     49888 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-4       	15604286	        75.44 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	15746782	        74.46 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	15765938	        76.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	15980248	        74.65 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	15931618	        74.47 ns/op	      32 B/op	       1 allocs/op
