goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkNewRedactor-4                                  	 2094552	       600.3 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-4                                  	 2145939	       563.5 ns/op	    1352 B/op	       5 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	82.251s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/config
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkValidate/valid_defaults-4         	  735262	      1627 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-4         	  681224	      1658 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-4         	  684176	      1622 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-4         	  688929	      1622 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-4         	  660404	      1641 ns/op	     869 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-4         	  654380	      1652 ns/op	     869 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  183128	      6508 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  178832	      6452 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  163657	      6475 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  185068	      6445 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  183015	      6443 ns/op	     868 B/op	      18 allocs/op
BenchmarkValidate/with_arrays-4            	  182442	      6532 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  311616	      3704 ns/op	    2086 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  313700	      3693 ns/op	    2087 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  312074	      3709 ns/op	    2087 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  317196	      3706 ns/op	    2089 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  310180	      3701 ns/op	    2088 B/op	      58 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  316929	      3718 ns/op	    2089 B/op	      58 allocs/op
BenchmarkParseDefaultsTOML-4               	   52856	     22208 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-4               	   53134	     22274 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-4               	   53199	     22245 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-4               	   53498	     22280 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-4               	   53247	     22302 ns/op	    1880 B/op	      52 allocs/op
BenchmarkParseDefaultsTOML-4               	   53581	     22303 ns/op	    1881 B/op	      52 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1186 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1171 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1158 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1156 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	 1000000	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  171205	      7068 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  169492	      7049 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  169154	      7040 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  169268	      7060 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  172161	      7064 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  170697	      6982 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendEnumErr/match_first-4                	61831462	        17.95 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	62846299	        18.01 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	62158770	        18.05 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	62689046	        18.17 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	62915576	        18.05 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	64482757	        18.05 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	62751682	        18.20 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	63677029	        18.33 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	63296934	        18.20 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	62039312	        18.23 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	63636213	        18.40 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	58997923	        18.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2239706	       537.0 ns/op	     346 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2196121	       544.8 ns/op	     346 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2235790	       535.0 ns/op	     346 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2241788	       537.8 ns/op	     347 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2243008	       537.0 ns/op	     347 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 2235751	       534.5 ns/op	     346 B/op	      12 allocs/op
PASS
ok  	github.com/jongio/grut/internal/config	69.005s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/crashlog
cpu: AMD EPYC 9V74 80-Core Processor                
