goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkParseStatus/10_files-4         	  719108	      1770 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  629356	      1854 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  644299	      1788 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  619938	      1788 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  643939	      1783 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  627878	      1793 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	   75913	     15618 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   76620	     15529 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   77068	     15491 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   76884	     15389 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   73135	     15579 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   75511	     15499 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   15972	     75472 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15741	     75439 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15907	     75442 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15861	     75675 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15856	     75110 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   16051	     75194 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   51890	     23296 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   52057	     23053 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   53134	     23182 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   52180	     23121 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   50559	     23166 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   52852	     22869 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  677031	      1694 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  668922	      1690 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  651732	      1706 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  669133	      1693 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  665425	      1688 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  651608	      1694 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	 1000000	      1064 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  947977	      1085 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1000000	      1067 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  992334	      1065 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  989144	      1069 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  961099	      1065 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  173427	      6733 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  171945	      6727 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  177080	      6758 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  177475	      6738 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  177334	      6721 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  171392	      6754 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17863	     67466 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17166	     70355 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17654	     67785 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17706	     68269 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17646	     67598 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17751	     68152 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-4       	11934452	        99.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	12022569	        98.75 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	12048588	        99.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	12063936	        99.24 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11949055	        98.62 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11871916	        98.05 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10987197	       106.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11034960	       106.1 ns/op	      32 B/op	       1 allocs/op
